hodnota,rok,orp,okres,kraj,typHodnoty,pohlavi,vekovaSkupina
1686.1547358719,2017,,CZ020C,,1,0,0
1445.7756243476,2017,,CZ0311,,1,0,0
112.94626049664,2017,,CZ0312,,1,0,0
58.282748306501,2017,,CZ0313,,1,0,0
221.40429552538,2017,,CZ0314,,1,0,0
1229.9201734503,2017,,CZ0315,,1,0,0
997.62268636441,2017,,CZ0316,,1,0,0
1069.633743327,2017,,CZ0317,,1,0,0
532.38253394549,2017,,CZ0321,,1,0,0
334.54882213347,2017,,CZ0322,,1,0,0
1320.791628994,2017,,CZ0323,,1,0,0
370.45908183633,2017,,CZ0324,,1,0,0
427.11543625878,2017,,CZ0325,,1,0,0
570.60161256977,2017,,CZ0326,,1,0,0
557.45979132924,2017,,CZ0327,,1,0,0
3126.2267195883,2017,,CZ0411,,1,0,0
973.20230313001,2017,,CZ0412,,1,0,0
422.93285940857,2017,,CZ0413,,1,0,0
139.41979914356,2017,,CZ0421,,1,0,0
345.34111491246,2017,,CZ0422,,1,0,0
586.05359878771,2017,,CZ0423,,1,0,0
719.08290875405,2017,,CZ0424,,1,0,0
429.58834075941,2017,,CZ0425,,1,0,0
550.72599239733,2017,,CZ0426,,1,0,0
762.61669711547,2017,,CZ0427,,1,0,0
1003.6788615913,2017,,CZ0511,,1,0,0
902.37718259021,2017,,CZ0512,,1,0,0
3006.1459239334,2017,,CZ0513,,1,0,0
777.18456443874,2017,,CZ0514,,1,0,0
6671.7274986838,2017,,CZ0521,,1,0,0
2872.269520492,2017,,CZ0522,,1,0,0
377.392642201,2017,,CZ0523,,1,0,0
880.24149564953,2017,,CZ0524,,1,0,0
1009.726413027,2017,,CZ0525,,1,0,0
420.0146092038,2017,,CZ0531,,1,0,0
4376.5184077742,2017,,CZ0532,,1,0,0
1395.2371807183,2017,,CZ0533,,1,0,0
334.47727948805,2017,,CZ0534,,1,0,0
1323.0873449342,2017,,CZ0631,,1,0,0
4782.9749501219,2017,,CZ0632,,1,0,0
122.20694635393,2017,,CZ0633,,1,0,0
310.54228221652,2017,,CZ0634,,1,0,0
505.99223636703,2017,,CZ0635,,1,0,0
1068.0920202356,2017,,CZ0641,,1,0,0
1540.0758012253,2017,,CZ0642,,1,0,0
102.39251071922,2017,,CZ0643,,1,0,0
2212.7644850435,2017,,CZ0644,,1,0,0
466.18839190904,2017,,CZ0645,,1,0,0
424.08170421671,2017,,CZ0646,,1,0,0
1405.1192768648,2017,,CZ0647,,1,0,0
445.87628865979,2017,,CZ0711,,1,0,0
663.90218878249,2017,,CZ0712,,1,0,0
1006.6249539934,2017,,CZ0713,,1,0,0
1149.6540322087,2017,,CZ0714,,1,0,0
4097.9477226742,2017,,CZ0715,,1,0,0
727.75388686735,2017,,CZ0721,,1,0,0
379.92907054321,2017,,CZ0722,,1,0,0
428.52257420629,2017,,CZ0723,,1,0,0
732.42289461045,2017,,CZ0724,,1,0,0
220.13596633215,2017,,CZ0801,,1,0,0
576.75368728799,2017,,CZ0802,,1,0,0
271.25171280076,2017,,CZ0803,,1,0,0
127.25246757699,2017,,CZ0804,,1,0,0
257.76700129167,2017,,CZ0805,,1,0,0
723.02816835962,2017,,CZ0806,,1,0,0
1390.5,2012,,CZ0100,,1,0,0
741.5,2008,,CZ0806,,1,0,0
0,2015,,CZ0806,,1,0,0
794.6,2011,,CZ0806,,1,0,0
1476,2009,,CZ0644,,1,0,0
108.7,2008,,CZ0643,,1,0,0
117.9,2012,,CZ0643,,1,0,0
609.7,2013,,CZ0641,,1,0,0
2436.7,2010,,CZ0642,,1,0,0
684.5,2011,,CZ0646,,1,0,0
859.1,2013,,CZ0713,,1,0,0
447.8,2012,,CZ0712,,1,0,0
479.36,2007,,CZ0711,,1,0,0
731.9,2012,,CZ0722,,1,0,0
3386.4,2011,,CZ0724,,1,0,0
0,2015,,CZ0724,,1,0,0
845.1,2010,,CZ0723,,1,0,0
1803.6,2008,,CZ0721,,1,0,0
953.1,2009,,CZ0715,,1,0,0
1502.7,2011,,CZ0715,,1,0,0
503.12,2007,,CZ0805,,1,0,0
2082.3,2012,,CZ0804,,1,0,0
1650.5,2011,,CZ0804,,1,0,0
878.6,2007,,,CZ042,1,0,0
804.9,2002,,,CZ042,1,0,0
0,2014,,,CZ041,1,0,0
1118.3,2006,,,CZ041,1,0,0
1087.4,2004,,,CZ032,1,0,0
1355.9,2011,,,CZ031,1,0,0
765.8,2013,,,CZ031,1,0,0
956,2005,,,CZ020,1,0,0
749.2,2008,,,CZ020,1,0,0
1035.6,2002,,,CZ020,1,0,0
1313.2,2009,,,CZ031,1,0,0
1435.9,2003,,,CZ031,1,0,0
702.2,2013,,,CZ032,1,0,0
1714.7,2003,,,CZ052,1,0,0
0,1999,,,CZ052,1,0,0
841.1,2004,,,CZ051,1,0,0
1456.9,2009,,,CZ064,1,0,0
1225.4,2001,,,CZ064,1,0,0
1114.5,2011,,,CZ064,1,0,0
0,1996,,,CZ063,1,0,0
1267.6,2011,,,CZ063,1,0,0
1067.6,2007,,,CZ063,1,0,0
0,1995,,,CZ072,1,0,0
1117.1,2007,,,CZ080,1,0,0
1014.9,2007,,,CZ072,1,0,0
0,1998,,,CZ072,1,0,0
857.5,2003,,,CZ072,1,0,0
887.5,2011,,,CZ071,1,0,0
0,2000,,,CZ071,1,0,0
0,2000,,,CZ010,1,0,0
0,2000,,,CZ080,1,0,0
1319.3,2002,,,CZ000,1,0,0
0,1998,,,CZ000,1,0,0
0,1995,,,CZ000,1,0,0
209.1,2012,,CZ0201,,1,0,0
1249.2,2011,,,CZ000,1,0,0
1656.98,2007,,CZ0205,,1,0,0
88.2,2012,,CZ0206,,1,0,0
966.6,2009,,CZ0202,,1,0,0
1448.1,2012,,CZ0203,,1,0,0
398.2,2008,,CZ0207,,1,0,0
1396.5,2009,,CZ0208,,1,0,0
1064.5,2010,,CZ0208,,1,0,0
3.2,2012,,CZ020A,,1,0,0
12.3,2013,,CZ020A,,1,0,0
0,2008,,CZ020A,,1,0,0
28.8,2009,,CZ020A,,1,0,0
1478.2,2012,,CZ020B,,1,0,0
631.9,2008,,CZ0311,,1,0,0
1370.59,2007,,CZ020C,,1,0,0
1890.8,2012,,CZ020C,,1,0,0
3086.9,2009,,CZ0312,,1,0,0
0,2015,,CZ0313,,1,0,0
806,2011,,CZ0313,,1,0,0
1665.67,2007,,CZ0314,,1,0,0
347.8,2008,,CZ0322,,1,0,0
335.1,2012,,CZ0322,,1,0,0
666,2010,,CZ0321,,1,0,0
1914.3,2011,,CZ0317,,1,0,0
0,2015,,CZ0317,,1,0,0
868.6,2012,,CZ0316,,1,0,0
1797,2013,,CZ0411,,1,0,0
521.6,2013,,CZ0327,,1,0,0
638.5,2008,,CZ0327,,1,0,0
58.9,2013,,CZ0325,,1,0,0
84.16,2007,,CZ0325,,1,0,0
874.3,2013,,CZ0323,,1,0,0
971.8,2008,,CZ0413,,1,0,0
738.8,2012,,CZ0413,,1,0,0
530.4,2011,,CZ0422,,1,0,0
572.2,2011,,CZ0421,,1,0,0
0,2015,,CZ0421,,1,0,0
691.8,2008,,CZ0423,,1,0,0
592.7,2011,,CZ0423,,1,0,0
535.8,2010,,CZ0423,,1,0,0
500.7,2013,,CZ0425,,1,0,0
1415.8,2008,,CZ0424,,1,0,0
1661.4,2010,,CZ0424,,1,0,0
523,2012,,CZ0426,,1,0,0
1282.09,2007,,CZ0426,,1,0,0
287.5,2008,,CZ0511,,1,0,0
1717.7,2010,,CZ0511,,1,0,0
0,2015,,CZ0511,,1,0,0
2365.7,2010,,CZ0427,,1,0,0
0,2015,,CZ0427,,1,0,0
2991.3,2009,,CZ0513,,1,0,0
1810.1,2010,,CZ0514,,1,0,0
617.4,2008,,CZ0523,,1,0,0
1193.1,2012,,CZ0523,,1,0,0
1021.4,2010,,CZ0522,,1,0,0
0,2015,,CZ0522,,1,0,0
2366.7,2009,,CZ0521,,1,0,0
760.4,2013,,CZ0533,,1,0,0
1705.1,2008,,CZ0524,,1,0,0
1941.4,2013,,CZ0524,,1,0,0
1676.1,2010,,CZ0525,,1,0,0
0,2015,,CZ0633,,1,0,0
223.56,2007,,CZ0634,,1,0,0
149.1,2008,,CZ0634,,1,0,0
2786.5,2011,,CZ0632,,1,0,0
1422.8,2009,,CZ0534,,1,0,0
4040.3,2008,,CZ0534,,1,0,0
1565.5,2007,,CZ0631,,1,0,0
1144.6243199668,2016,,,CZ010,1,0,0
1469.2679311966,2016,,,CZ020,1,0,0
741.0227367082,2016,,,CZ031,1,0,0
2468.5010335193,2016,,,CZ032,1,0,0
1332.5844132693,2016,,,CZ041,1,0,0
634.43998540679,2016,,,CZ042,1,0,0
2726.845215242,2016,,,CZ051,1,0,0
2944.2447707361,2016,,,CZ052,1,0,0
1923.5199485822,2016,,,CZ053,1,0,0
1835.8677656735,2016,,,CZ063,1,0,0
1239.7066370313,2016,,,CZ064,1,0,0
1680.8578083873,2016,,,CZ071,1,0,0
745.69249599849,2016,,,CZ072,1,0,0
519.46572541535,2016,,,CZ080,1,0,0
1379.4044722319,2016,,,CZ000,1,0,0
2200,2013,,CZ0100,,1,0,0
1501.5,2013,,CZ0805,,1,0,0
918.7,2008,,CZ0805,,1,0,0
649.92,2007,,CZ0806,,1,0,0
580.3,2008,,CZ0723,,1,0,0
686,2011,,CZ0801,,1,0,0
0,2015,,CZ0801,,1,0,0
1458.04,2007,,CZ0724,,1,0,0
584.3,2008,,CZ0802,,1,0,0
1656,2012,,CZ0631,,1,0,0
477.4,2010,,CZ0533,,1,0,0
2619.8,2010,,CZ0632,,1,0,0
2201.6,2007,,CZ0633,,1,0,0
702.7,2012,,CZ0633,,1,0,0
133.7,2010,,CZ0634,,1,0,0
1044.7,2011,,CZ0644,,1,0,0
574.1,2008,,CZ0646,,1,0,0
0,2015,,CZ0646,,1,0,0
1482.7,2010,,CZ0645,,1,0,0
671,2011,,CZ0647,,1,0,0
453.2,2008,,CZ0711,,1,0,0
815.6,2013,,CZ0712,,1,0,0
1065.3,2009,,CZ0714,,1,0,0
0,2015,,CZ0714,,1,0,0
985.8,2008,,CZ0715,,1,0,0
2102.3,2013,,CZ0715,,1,0,0
968.7,2010,,CZ0721,,1,0,0
718.3,2011,,,CZ020,1,0,0
0,2015,,,CZ020,1,0,0
0,1999,,,CZ020,1,0,0
1532.1,2004,,,CZ031,1,0,0
1113.3,2013,,,CZ041,1,0,0
0,1995,,,CZ032,1,0,0
701.7,2009,,,CZ041,1,0,0
0,2014,,,CZ032,1,0,0
0,1998,,,CZ032,1,0,0
1201.8,2006,,,CZ032,1,0,0
2619.8,2013,,,CZ051,1,0,0
1741.7,2009,,,CZ051,1,0,0
849.5,2003,,,CZ051,1,0,0
0,1999,,,CZ051,1,0,0
0,1999,,,CZ042,1,0,0
939,2003,,,CZ042,1,0,0
0,1996,,,CZ042,1,0,0
1024.4,2010,,,CZ042,1,0,0
927.7,2012,,,CZ042,1,0,0
2215.6,2010,,,CZ052,1,0,0
0,2014,,,CZ052,1,0,0
0,1998,,,CZ052,1,0,0
1656.1,2001,,,CZ052,1,0,0
2477.7,2012,,,CZ053,1,0,0
0,2014,,,CZ053,1,0,0
1428,2013,,,CZ063,1,0,0
0,2000,,,CZ053,1,0,0
0,2000,,,CZ064,1,0,0
1558.9,2002,,,CZ064,1,0,0
1157.6,2008,,,CZ071,1,0,0
1043.1,2001,,,CZ071,1,0,0
1205.1,2013,,,CZ064,1,0,0
0,1995,,,CZ063,1,0,0
1127.9,2006,,,CZ063,1,0,0
877.1,2006,,,CZ072,1,0,0
0,2000,,,CZ072,1,0,0
0,1999,,,CZ071,1,0,0
1091.3,2005,,,CZ071,1,0,0
933.6,2013,,,CZ080,1,0,0
1148.2,2006,,,CZ080,1,0,0
862.7,2011,,,CZ080,1,0,0
1284.8,2002,,,CZ080,1,0,0
0,1995,,,CZ080,1,0,0
1370.6,2013,,,CZ000,1,0,0
2018.2,2003,,,CZ010,1,0,0
1949.9,2010,,,CZ010,1,0,0
1784.4,2007,,,CZ010,1,0,0
1166.7,2009,,,CZ000,1,0,0
1319.9,2006,,,CZ000,1,0,0
367.34,2007,,CZ0206,,1,0,0
1456.8,2011,,CZ0202,,1,0,0
542.7,2010,,CZ0204,,1,0,0
1315,2008,,CZ020B,,1,0,0
1083.3,2009,,CZ020B,,1,0,0
0,2015,,CZ020A,,1,0,0
39.77,2007,,CZ020A,,1,0,0
805.2,2010,,CZ0209,,1,0,0
715.4,2011,,CZ0209,,1,0,0
0,2015,,CZ0209,,1,0,0
375.1,2010,,CZ0207,,1,0,0
347.2,2013,,CZ0207,,1,0,0
0,2015,,CZ0208,,1,0,0
4306.7,2011,,CZ0312,,1,0,0
0,2015,,CZ0312,,1,0,0
760.75,2007,,CZ0311,,1,0,0
602.5,2012,,CZ0314,,1,0,0
836.7,2012,,CZ0313,,1,0,0
1498.1,2009,,CZ0317,,1,0,0
519.6,2008,,CZ0316,,1,0,0
1022,2013,,CZ0316,,1,0,0
463.27,2007,,CZ0322,,1,0,0
578,2013,,CZ0322,,1,0,0
844.55,2007,,CZ0321,,1,0,0
1063,2008,,CZ0324,,1,0,0
0,2015,,CZ0326,,1,0,0
289,2010,,CZ0325,,1,0,0
1124.49,2007,,CZ0411,,1,0,0
482,2010,,CZ0327,,1,0,0
1278.9,2011,,CZ0326,,1,0,0
971,2007,,CZ0326,,1,0,0
423.91,2007,,CZ0422,,1,0,0
386.1,2009,,CZ0422,,1,0,0
559.4,2010,,CZ0421,,1,0,0
791.9,2012,,CZ0412,,1,0,0
649.36,2007,,CZ0412,,1,0,0
1153.5,2009,,CZ0426,,1,0,0
2182.9,2012,,CZ0511,,1,0,0
1083.68,2007,,CZ0424,,1,0,0
1155.9,2009,,CZ0512,,1,0,0
3444.7,2012,,CZ0513,,1,0,0
3782.07,2007,,CZ0513,,1,0,0
2153.29,2007,,CZ0521,,1,0,0
1387.2,2011,,CZ0514,,1,0,0
4632.7,2011,,CZ0532,,1,0,0
0,2015,,CZ0531,,1,0,0
2576.4,2010,,CZ0531,,1,0,0
886.3,2007,,CZ0523,,1,0,0
976.2,2013,,CZ0525,,1,0,0
4776.9,2008,,CZ0804,,1,0,0
1795.9,2010,,CZ0805,,1,0,0
157.2,2013,,CZ0643,,1,0,0
101,2010,,CZ0643,,1,0,0
0,2015,,CZ0642,,1,0,0
2033.9,2011,,CZ0642,,1,0,0
2463.39,2007,,CZ0642,,1,0,0
500,2008,,CZ0635,,1,0,0
1002.1,2012,,CZ0635,,1,0,0
656.2,2011,,CZ0641,,1,0,0
484.7,2013,,CZ0646,,1,0,0
586.8,2008,,CZ0645,,1,0,0
1155.8,2013,,CZ0645,,1,0,0
1695.4,2013,,CZ0647,,1,0,0
663.3,2011,,CZ0712,,1,0,0
367.2,2012,,CZ0711,,1,0,0
1784.79,2007,,CZ0721,,1,0,0
1396.73,2007,,CZ0714,,1,0,0
1400.6,2009,,CZ0712,,1,0,0
384.1,2010,,CZ0713,,1,0,0
679,2013,,CZ0802,,1,0,0
754.06,2007,,CZ0801,,1,0,0
371.3,2009,,CZ0803,,1,0,0
0,2015,,CZ0803,,1,0,0
485.1,2010,,CZ0802,,1,0,0
1078.9,2008,,,CZ031,1,0,0
1394.2,2010,,,CZ031,1,0,0
751.2,2010,,,CZ032,1,0,0
0,1998,,,CZ031,1,0,0
737.1,2009,,,CZ020,1,0,0
0,1997,,,CZ020,1,0,0
0,2000,,,CZ020,1,0,0
925.6,2013,,,CZ042,1,0,0
0,1998,,,CZ041,1,0,0
0,1995,,,CZ041,1,0,0
0,2015,,,CZ042,1,0,0
0,1999,,,CZ041,1,0,0
918.3,2006,,,CZ042,1,0,0
1107.7,2011,,,CZ041,1,0,0
0,2015,,,CZ041,1,0,0
1228.6,2005,,,CZ032,1,0,0
960.7,2001,,,CZ041,1,0,0
902.1,2004,,,CZ041,1,0,0
798.1,2008,,,CZ032,1,0,0
2024.1,2010,,,CZ053,1,0,0
0,1996,,,CZ052,1,0,0
1439.5,2008,,,CZ052,1,0,0
1840.3,2012,,,CZ052,1,0,0
2476.2,2011,,,CZ051,1,0,0
0,2015,,,CZ051,1,0,0
813.9,2005,,,CZ042,1,0,0
1077.7,2002,,,CZ063,1,0,0
1284.9,2005,,,CZ063,1,0,0
0,2000,,,CZ063,1,0,0
0,2014,,,CZ064,1,0,0
1102.5,2012,,,CZ064,1,0,0
1401.9,2006,,,CZ064,1,0,0
1508.9,2004,,,CZ064,1,0,0
1107.4,2005,,,CZ080,1,0,0
2120.6,2009,,,CZ010,1,0,0
1647.6,2011,,,CZ010,1,0,0
1185.8,2008,,,CZ080,1,0,0
1041,2004,,,CZ080,1,0,0
0,2000,,,CZ000,1,0,0
0,1997,,,CZ010,1,0,0
1643.2,2011,,,CZ072,1,0,0
1410.2,2013,,,CZ072,1,0,0
0,1995,,,CZ071,1,0,0
900.2,2009,,,CZ072,1,0,0
0,1996,,,CZ072,1,0,0
0,2014,,,CZ080,1,0,0
955.6,2010,,,CZ080,1,0,0
1508,2009,,CZ0205,,1,0,0
1581.8,2008,,CZ0205,,1,0,0
967.58,2007,,CZ0203,,1,0,0
0,2015,,CZ0204,,1,0,0
0,1996,,,CZ000,1,0,0
1607.2,2013,,CZ0203,,1,0,0
3377.7,2010,,CZ0202,,1,0,0
726.2,2013,,CZ0208,,1,0,0
324.8,2011,,CZ0206,,1,0,0
638.7,2009,,CZ0209,,1,0,0
1199.3,2008,,CZ020C,,1,0,0
822.2,2013,,CZ0311,,1,0,0
1887.8,2010,,CZ020B,,1,0,0
734.1,2009,,CZ0313,,1,0,0
542.6,2009,,CZ0321,,1,0,0
388.6,2009,,CZ0322,,1,0,0
1342.9,2008,,CZ0317,,1,0,0
441.55,2007,,CZ0315,,1,0,0
1919.8,2013,,CZ0326,,1,0,0
1656.4,2011,,CZ0323,,1,0,0
429,2011,,CZ0324,,1,0,0
0,2015,,CZ0324,,1,0,0
411.5,2008,,CZ0422,,1,0,0
1335.6,2010,,CZ0422,,1,0,0
586.2,2012,,CZ0423,,1,0,0
939.4,2008,,CZ0427,,1,0,0
2005.7,2012,,CZ0427,,1,0,0
0,2015,,CZ0426,,1,0,0
526.9,2011,,CZ0426,,1,0,0
853.6,2010,,CZ0426,,1,0,0
3354.3,2013,,CZ0513,,1,0,0
2720.2,2008,,CZ0513,,1,0,0
1227.7,2012,,CZ0512,,1,0,0
1063.07,2007,,CZ0512,,1,0,0
0,2015,,CZ0514,,1,0,0
5526.2,2013,,CZ0521,,1,0,0
1111.5,2011,,CZ0522,,1,0,0
1160.4,2008,,CZ0522,,1,0,0
1426.4,2008,,CZ0531,,1,0,0
2759.9,2010,,CZ0532,,1,0,0
568.7,2011,,CZ0533,,1,0,0
2034.4,2013,,CZ0534,,1,0,0
2032.5,2013,,CZ0633,,1,0,0
1949.9,2010,,CZ0100,,1,0,0
1647.6,2011,,CZ0100,,1,0,0
1467.3,2008,,CZ0100,,1,0,0
479.3,2008,,CZ0803,,1,0,0
1409.6,2009,,CZ0804,,1,0,0
1689.6,2010,,CZ0804,,1,0,0
0,2015,,CZ0805,,1,0,0
0,2015,,CZ0634,,1,0,0
565.35,2007,,CZ0635,,1,0,0
1139.5,2008,,CZ0641,,1,0,0
3171.3,2009,,CZ0642,,1,0,0
1683,2012,,CZ0642,,1,0,0
0,2015,,CZ0643,,1,0,0
144.5,2009,,CZ0647,,1,0,0
355.7,2008,,CZ0647,,1,0,0
1252.3,2008,,CZ0644,,1,0,0
660.9,2009,,CZ0646,,1,0,0
790.9,2010,,CZ0646,,1,0,0
513.9,2011,,CZ0802,,1,0,0
3652.3,2010,,CZ0724,,1,0,0
288.36,2007,,CZ0722,,1,0,0
418.3,2008,,CZ0713,,1,0,0
706.8,2009,,CZ0713,,1,0,0
1236.5,2011,,CZ0714,,1,0,0
0,2015,,CZ0713,,1,0,0
1867.87,2007,,CZ0712,,1,0,0
0,2015,,CZ0721,,1,0,0
0,2015,,CZ0715,,1,0,0
0,1998,,,CZ020,1,0,0
1007.2,2004,,,CZ020,1,0,0
0,2000,,,CZ031,1,0,0
659.4,2012,,,CZ032,1,0,0
1004.8,2007,,,CZ032,1,0,0
1502.5,2001,,,CZ032,1,0,0
956.6,2009,,,CZ042,1,0,0
0,1995,,,CZ042,1,0,0
0,2000,,,CZ042,1,0,0
1013.9,2003,,,CZ041,1,0,0
948.8,2012,,,CZ041,1,0,0
982.6,2007,,,CZ041,1,0,0
0,2015,,,CZ052,1,0,0
0,1998,,,CZ051,1,0,0
0,2000,,,CZ051,1,0,0
685.5,2002,,,CZ051,1,0,0
2779.9,2010,,,CZ051,1,0,0
1768.5,2008,,,CZ053,1,0,0
2047.1,2006,,,CZ053,1,0,0
1485.7,2007,,,CZ052,1,0,0
798.7,2009,,,CZ063,1,0,0
0,2015,,,CZ063,1,0,0
0,1998,,,CZ053,1,0,0
0,1999,,,CZ053,1,0,0
2105.1,2004,,,CZ053,1,0,0
1262.1,2007,,,CZ064,1,0,0
1197.7,2003,,,CZ063,1,0,0
1416,2003,,,CZ064,1,0,0
0,1999,,,CZ064,1,0,0
0,1996,,,CZ064,1,0,0
1088.5,2013,,,CZ071,1,0,0
1058.8,2009,,,CZ071,1,0,0
1166.5,2006,,,CZ071,1,0,0
0,2015,,,CZ072,1,0,0
0,1996,,,CZ071,1,0,0
0,1998,,,CZ071,1,0,0
1185.1,2004,,,CZ071,1,0,0
0,2015,,,CZ080,1,0,0
2200,2013,,,CZ010,1,0,0
2003.9,2006,,,CZ010,1,0,0
1919.9,2004,,,CZ010,1,0,0
0,2015,,,CZ010,1,0,0
0,1998,,,CZ080,1,0,0
0,2014,,,CZ000,1,0,0
0,1999,,,CZ000,1,0,0
316.1,2011,,CZ0201,,1,0,0
210.2,2009,,CZ0201,,1,0,0
225.8,2008,,CZ0201,,1,0,0
0,2015,,CZ0202,,1,0,0
2761.5,2013,,CZ0202,,1,0,0
402,2008,,CZ0202,,1,0,0
734,2012,,CZ0204,,1,0,0
975.2,2008,,CZ0203,,1,0,0
2149.6,2010,,CZ0205,,1,0,0
1122.8,2011,,CZ0205,,1,0,0
852.2,2013,,CZ0209,,1,0,0
1580.6,2007,,CZ0208,,1,0,0
